колонка_0,колонка_1,колонка_2,колонка_3,колонка_4,колонка_5,колонка_6,колонка_7,колонка_8,колонка_9,колонка_10,колонка_11,колонка_12,колонка_13,колонка_14,колонка_15,колонка_16,колонка_17,колонка_18,колонка_19,колонка_20
2024-05-07,website,Электроника и наноэлектроника,2024-06-29,150000,b80e8c5f-91c5-4623-8dec-d1c68623cf08,0.64,1,1,2,Красноярский государственный университет (КГУ),720000.0,,F,8,Александра Захаровна Тетерина,0,BACHELOR,17,3.5,2024-05-05
2024-08-11,bank,Автоматизация и управление,2024-09-04,320000,6441a9f4-a80a-476a-8b8c-05a45b4e1c2f,0.6,1,1,2,Московский государственный университет имени М.В. Ломоносова (МГУ),960000.0,,F,6,Агафья Артемовна Герасимова,0,BACHELOR,17,3.8,2024-05-27
2024-06-08,social_media,Автоматизация и управление,2024-06-28,140000,687692f5-5919-4ebd-b7b0-560437b97d4c,0.54,1,1,3,Уральский федеральный университет имени первого Президента России Б.Н. Ельцина (УрФУ),756000.0,,F,6,Анисимова Алевтина Вадимовна,0,SPECIALTY,17,3.4,2024-06-03
2024-07-18,website,Прикладная математика,2024-09-10,220000,f8a904b6-18ca-43be-87f6-fae7b8e8468,0.68,1,1,2,Уральский федеральный университет имени первого Президента России Б.Н. Ельцина (УрФУ),1056000.0,,F,8,Горшкова Пелагея Семеновна,1,BACHELOR,17,3.8,2024-07-01
2024-07-01,website,Механика,2024-07-13,155000,f7c0ec17-51cc-4287-8402-0638a9574df,0.54,1,1,4,Новосибирский государственный университет (НГУ),1116000.0,,M,8,Красильников Никандр Теймуразович,1,BACHELOR,18,4.4,2024-06-17
2024-07-29,website,Прикладная математика,2024-08-17,140000,ca3cdcaa-56a8-4d84-addb-55d6860f36d8,0.64,1,1,2,Сибирский федеральный университет (СФУ),672000.0,,M,6,Всеслав Игнатьевич Ситников,0,BACHELOR,15,3.2,2024-05-08
2024-07-01,social_media,Автоматизация и управление,2024-09-06,370000,b02d4e59-090f-4361-99e5-2519a28685c6,0.72,1,1,1,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),666000.0,,F,2,Лыткина Майя Алексеевна,0,MASTER,22,4.8,2024-06-10
2024-06-30,bank,Информатика и вычислительная техника,2024-07-14,300000,d9fc2e6d-232a-48e1-b893-8840ab8c1e58,0.65,1,1,3,Московский физико-технический институт (МФТИ),1800000.0,,F,6,Николаева Маргарита Макаровна,0,BACHELOR,15,3.7,2024-06-28
2024-08-11,social_media,Прикладная математика,,300000,610ba9ab-e113-4a80-aa34-90127895daf5,0.68,0,1,3,Московский государственный университет имени М.В. Ломоносова (МГУ),1920000.0,,F,8,Фомичева Евфросиния Валентиновна,0,BACHELOR,17,4.4,2024-08-01
2024-08-20,bank,Физика,,155000,aaf20967-350f-40cd-92bd-f39e0c97e5c2,0.64,0,1,2,Дальневосточный федеральный университет (ДВФУ),558000.0,,M,6,Аксенов Андрей Даниилович,0,SPECIALTY,17,4.0,2024-08-09
2024-08-31,website,Информатика и вычислительная техника,,450000,38cf6104-f040-4483-ad20-1d104f17ecb5,0.67,0,1,3,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),2700000.0,,F,8,тов. Авдеева Лидия Александровна,0,BACHELOR,19,4.2,2024-06-11
2024-06-04,social_media,Химия,,260000,ddfb4bf6-dc2d-4984-86e0-7c6189f0c59a,0.52,0,1,2,Московский государственный университет имени М.В. Ломоносова (МГУ),1040000.0,,M,4,Самсонов Евстафий Демьянович,0,BACHELOR,16,3.3,2024-06-02
2024-06-11,bank,Физика,2024-06-15,315000,b8168e08-cfd5-48b4-9067-f83812efe8f,0.58,1,1,2,Санкт-Петербургский государственный университет (СПбГУ),1512000.0,,M,6,Януарий Эдгарович Зыков,1,BACHELOR,19,4.0,2024-05-03
,social_media,Прикладная математика,,300000,ec0aaea6-4b40-43b6-9b35-4461bd5d44bf,0.73,0,0,2,Московский физико-технический институт (МФТИ),0.0,Плохая КИ,F,8,Федосеева Екатерина Георгиевна,0,BACHELOR,15,4.4,2024-07-30
2024-07-31,bank,Инженерия программного обеспечения,,210000,50468347-8fc7-443f-92ca-f1bf289aff77,0.69,0,1,1,Московский физико-технический институт (МФТИ),420000.0,,F,2,Гущина Галина Павловна,0,MASTER,21,3.1,2024-06-06
2024-06-29,website,Информатика и вычислительная техника,2024-07-11,195000,2443a746-988c-4446-b7f1-f521cb9bfec2,0.66,1,1,2,Томский государственный университет (ТГУ),702000.0,,F,6,Ситникова Анжела Константиновна,0,BACHELOR,16,4.0,2024-05-13
2024-05-10,bank,Информатика и вычислительная техника,2024-07-03,400000,5b640072-bb07-4955-955f-5b7e9ee4192,0.72,1,1,2,Санкт-Петербургский государственный университет (СПбГУ),1200000.0,,M,4,Орест Димитриевич Потапов,1,MASTER,21,4.0,2024-05-02
2024-05-25,bank,Автоматизация и управление,2024-07-13,320000,61e2467f-a056-4ef6-8e0d-c58506dd1460,0.73,1,1,1,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),768000.0,,F,4,Смирнова Людмила Викторовна,0,MASTER,24,3.7,2024-05-18
2024-05-27,website,Информатика и вычислительная техника,2024-07-29,450000,94056a5e-91ae-4f01-9fbd-03a282c959cf,0.57,1,1,1,Санкт-Петербургский государственный университет (СПбГУ),1080000.0,,F,4,Калашникова Феврония Наумовна,0,BACHELOR,19,3.6,2024-05-08
2024-06-19,social_media,Информатика и вычислительная техника,2024-09-08,300000,27890aa7-7a32-4265-a954-1eb88be83d1d,0.49,1,1,1,Московский физико-технический институт (МФТИ),600000.0,,F,2,Евсеева Клавдия Максимовна,0,BACHELOR,15,4.7,2024-06-04
2024-05-31,social_media,Физика,2024-06-01,315000,3d5c74e6-caef-4834-a7f2-2adb8fca39b,0.58,1,1,0,Санкт-Петербургский государственный университет (СПбГУ),315000.0,,M,2,Николаев Вацлав Измаилович,1,MASTER,22,3.6,2024-05-11
2024-05-28,social_media,Физика,2024-08-27,215000,12489d37-a10b-459d-a30b-fc3da7ea0772,0.65,1,1,0,Московский физико-технический институт (МФТИ),215000.0,,M,2,Ильин Якуб Демьянович,0,MASTER,20,4.0,2024-05-04
2024-08-30,website,Информатика и вычислительная техника,,260000,3a5ac8d0-8816-4762-a3d9-158bc30e5b93,0.63,0,1,4,Новосибирский государственный университет (НГУ),2080000.0,,M,8,Владимиров Никодим Харламович,0,SPECIALTY,18,3.4,2024-06-30
2024-09-03,website,Прикладная математика,,450000,0392dc36-9da3-46c3-b472-2b3c86044b3,0.65,0,1,2,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),2160000.0,,M,8,Лаврентьев Фрол Фадеевич,1,BACHELOR,19,4.0,2024-08-10
2024-06-28,bank,Информатика и вычислительная техника,,400000,c052471a-8178-4e64-9133-52cfa163987,0.73,0,1,2,Санкт-Петербургский государственный университет (СПбГУ),1200000.0,,F,4,Елизавета Васильевна Бобылева,1,MASTER,20,3.4,2024-05-18
2024-08-12,social_media,Химия,2024-09-04,310000,e5ac5061-a2e2-4e44-9ef6-592a2aa48578,0.67,1,1,3,Московский государственный университет имени М.В. Ломоносова (МГУ),1860000.0,,M,6,Константин Валерьянович Селиверстов,0,BACHELOR,19,4.0,2024-08-10
2024-07-24,social_media,Механика,2024-07-30,345000,92dbfbbb-1804-4b0b-87df-69502a19f3b7,0.64,1,1,4,Московский государственный университет имени М.В. Ломоносова (МГУ),2484000.0,,M,8,Маслов Константин Алексеевич,0,BACHELOR,16,3.3,2024-06-13
2024-06-16,bank,Прикладная математика,2024-08-05,300000,bffdda4f-7841-4a60-b8e2-bd7a8fe3ec7f,0.58,1,1,4,Московский государственный университет имени М.В. Ломоносова (МГУ),2400000.0,,F,8,Максимова Вероника Феликсовна,0,BACHELOR,15,4.0,2024-05-17
2024-08-25,social_media,Информатика и вычислительная техника,,295000,93068352-6bb2-4903-97a6-e3f99b17e09,0.64,0,1,2,Томский государственный университет (ТГУ),1327500.0,,M,6,Павлов Арефий Давидович,1,BACHELOR,19,3.8,2024-05-07
2024-06-27,bank,Физика,,175000,c9390efc-bfc4-471e-b4c8-967fbab2cc18,0.66,0,1,3,Новосибирский государственный университет (НГУ),1050000.0,,M,8,Парамон Борисович Мартынов,0,BACHELOR,19,3.1,2024-05-15
2024-06-11,social_media,Физика,2024-07-03,265000,b61e8a5e-a929-4383-b22d-8e10e89c9e76,0.71,1,1,1,Санкт-Петербургский государственный университет (СПбГУ),636000.0,,M,4,Корнил Гордеевич Кудрявцев,0,MASTER,23,4.0,2024-05-08
2024-08-04,bank,Кибернетика,,310000,ed4a7f05-7c58-4b09-8880-cd6ca8d3283,0.67,0,1,4,Санкт-Петербургский государственный университет (СПбГУ),2480000.0,,M,8,Елисеев Карп Вилорович,1,BACHELOR,19,3.1,2024-06-05
2024-09-13,social_media,Химия,,310000,0909a90a-7a2e-4d74-ae00-a2f56480541,0.64,0,1,2,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),1240000.0,,F,8,Наталья Леонидовна Якушева,1,BACHELOR,16,5.0,2024-06-04
2024-06-01,social_media,Физика,,155000,ef5897c7-34c9-4a93-bf0b-f0ee576329c9,0.68,0,1,1,Казанский федеральный университет (КФУ),310000.0,,M,4,Муравьев Вениамин Ильич,0,MASTER,20,3.5,2024-05-28
2024-08-30,social_media,Автоматизация и управление,2024-09-10,320000,06070732-01cb-4257-a893-eed310e6443d,0.56,1,1,2,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),1024000.0,,M,4,Кондратьев Кузьма Брониславович,0,MASTER,21,4.0,2024-05-13
,website,Информатика и вычислительная техника,,450000,cd24a8b1-bf8e-4d53-8838-6627ffb37c38,0.82,0,0,2,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),0.0,Плохая КИ,M,8,Панкратий Ефремович Силин,0,SPECIALTY,17,4.0,2024-05-15
2024-06-13,bank,Химия,2024-07-16,150000,762da431-5255-41fb-907c-c873822878a3,0.66,1,1,3,Сибирский федеральный университет (СФУ),960000.0,,M,8,Светозар Ильясович Кондратьев,0,BACHELOR,16,3.0,2024-05-08
2024-06-07,website,Автоматизация и управление,2024-08-08,280000,3df92870-3452-406b-bf57-ca29e40192ea,0.61,1,1,1,Российский государственный университет нефти и газа имени И.М. Губкина,560000.0,,F,4,Шестакова Тамара Андреевна,0,MASTER,21,4.0,2024-05-07
2024-07-19,bank,Инженерия программного обеспечения,2024-08-06,200000,76522a2c-43ae-4c88-aae0-f0ce50905003,0.69,1,1,5,Казанский федеральный университет (КФУ),2000000.0,,F,10,Светлана Рудольфовна Рогова,0,SPECIALTY,18,3.4,2024-05-05
2024-06-18,website,Информатика и вычислительная техника,2024-06-20,300000,a77652c2-a100-422d-bc6f-584f4c81332f,0.55,1,1,2,Пермский государственный национальный исследовательский университет (ПГНИУ),900000.0,,M,4,Аверьян Елизарович Орехов,0,MASTER,23,3.6,2024-05-24
2024-06-15,website,Прикладная математика,2024-06-29,300000,a40a11a5-a8ee-446f-8230-2896ee6d217b,0.58,1,1,1,Московский физико-технический институт (МФТИ),600000.0,,M,4,Селезнев Роман Жоресович,0,MASTER,24,4.0,2024-05-05
2024-08-18,website,Физика,,315000,d6ec9359-1d38-4ad9-8279-3eae18fe6426,0.64,0,1,2,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),1417500.0,,F,6,Пестова Раиса Дмитриевна,0,BACHELOR,15,4.8,2024-07-21
2024-06-14,website,Информатика и вычислительная техника,2024-08-21,350000,56ecf578-c3be-4317-9806-2f79cf0bbf64,0.66,1,1,3,Московский государственный университет имени М.В. Ломоносова (МГУ),1890000.0,,M,6,Кондратьев Самуил Ярославович,0,BACHELOR,16,3.8,2024-05-24
2024-07-01,social_media,Информатика и вычислительная техника,,400000,30e9c516-f401-4525-aa24-1d85cfba24aa,0.52,0,1,2,Московский государственный университет имени М.В. Ломоносова (МГУ),1200000.0,,M,6,Самойлов Фадей Бориславович,0,BACHELOR,16,3.3,2024-06-20
2024-07-02,website,Механика,2024-08-19,245000,a3fb7cbf-858a-49e1-ac6a-61169c4e237f,0.53,1,1,4,Санкт-Петербургский государственный университет (СПбГУ),1960000.0,,M,8,Горбунов Назар Ильич,0,BACHELOR,16,4.7,2024-06-14
2024-08-19,bank,Инженерия программного обеспечения,2024-09-08,250000,f0851dea-f7ff-41e4-b74f-141fc3f8deb,0.6,1,1,1,Казанский федеральный университет (КФУ),375000.0,,F,2,Рябова Ангелина Степановна,1,BACHELOR,17,4.9,2024-07-13
,website,Физика,,115000,203e024a-cd25-4a30-85d7-d6eb183cced7,0.8,0,0,1,Пермский государственный национальный исследовательский университет (ПГНИУ),0.0,Некорректные данные,M,2,Копылов Анисим Ефстафьевич,0,BACHELOR,17,3.2,2024-07-19
2024-06-02,social_media,Прикладная математика,,310000,cdc639f3-2b01-4197-8ea9-67ec3dcd565e,0.53,0,1,2,Новосибирский государственный университет (НГУ),1240000.0,,M,8,Мартьян Захарьевич Цветков,0,BACHELOR,19,4.0,2024-05-07
2024-05-18,bank,Физика,2024-09-14,165000,a2554817-8b23-4b99-bfa9-e357bad02cca,0.51,1,1,4,Московский физико-технический институт (МФТИ),1188000.0,,M,12,Лонгин Брониславович Большаков,0,SPECIALTY,17,4.0,2024-05-11
2024-08-22,social_media,Автоматизация и управление,2024-08-30,270000,347cf268-7f34-4257-8499-b5c373e6cecb,0.53,1,1,2,Санкт-Петербургский государственный университет (СПбГУ),1080000.0,,F,4,Александра Кузьминична Крылова,0,BACHELOR,15,4.0,2024-05-27
,bank,Физика,,315000,54d9a77f-882f-49bb-9ab1-9dd3a383f189,0.9,0,0,1,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),0.0,Заявитель найден в ЧС,F,4,Авдеева Надежда Максимовна,0,MASTER,23,3.4,2024-07-25
2024-08-24,bank,Информатика и вычислительная техника,,190000,f4b34050-b5a1-4724-ba23-0bdd3392449a,0.57,0,1,2,Сибирский федеральный университет (СФУ),570000.0,,F,4,Суханова Полина Архиповна,0,SPECIALTY,18,3.1,2024-06-26
,social_media,Физика,,205000,ec1c9350-3bb3-40a9-b802-fbdf7838790,0.83,0,0,2,Казанский федеральный университет (КФУ),0.0,Недостаток документов,M,6,Лапин Назар Харламович,1,BACHELOR,16,4.1,2024-06-11
,bank,Прикладная математика,,310000,cf238a2d-801c-4534-8a8e-66cf3bdedc8,0.88,0,0,2,Новосибирский государственный университет (НГУ),0.0,Плохая КИ,M,4,Медведев Михаил Федосеевич,1,MASTER,22,3.1,2024-05-12
2024-08-28,social_media,Прикладная математика,2024-09-03,350000,118ee24e-e26d-447c-8552-574f283644c5,0.66,1,1,3,Московский государственный университет имени М.В. Ломоносова (МГУ),2100000.0,,M,8,Борис Давыдович Николаев,0,BACHELOR,19,3.5,2024-05-11
2024-07-13,website,Физика,2024-07-29,315000,ee0e2060-a7f0-44a4-9af3-377cb6dd5608,0.64,1,1,3,Санкт-Петербургский государственный университет (СПбГУ),2016000.0,,M,8,Пахом Ильясович Кононов,0,SPECIALTY,18,3.1,2024-06-16
2024-06-24,bank,Электроника и наноэлектроника,2024-07-22,180000,aa32d528-5e2e-420d-b7f6-faa06cfa7ceb,0.57,1,1,1,Казанский федеральный университет (КФУ),360000.0,,M,4,Геннадий Тимурович Тарасов,0,BACHELOR,18,3.9,2024-05-06
,bank,Биотехнология,,275000,5f2a8115-2a1e-481a-a422-6190d0bfd7ff,0.82,0,0,2,Московский государственный университет имени М.В. Ломоносова (МГУ),0.0,Заявитель найден в ЧС,M,4,Бобров Евдоким Иосипович,0,MASTER,22,3.6,2024-06-21
2024-08-20,bank,Электроника и наноэлектроника,,210000,716cdf3f-5529-4ffa-b822-dcf7d7e94fdc,0.56,0,1,0,Уральский федеральный университет имени первого Президента России Б.Н. Ельцина (УрФУ),210000.0,,M,2,Ширяев Сидор Бенедиктович,0,BACHELOR,16,3.4,2024-05-21
2024-08-04,social_media,Автоматизация и управление,2024-09-12,230000,e6bb93b0-f385-4023-a5e7-63c4a1cfdad,0.49,1,1,4,Российский государственный университет нефти и газа имени И.М. Губкина,1656000.0,,M,8,Давыдов Савелий Фомич,1,BACHELOR,15,4.3,2024-07-31
2024-08-01,social_media,Прикладная математика,2024-09-10,260000,ab99d514-615d-4d03-b8f8-e43060b3910e,0.53,1,1,2,Российский государственный университет нефти и газа имени И.М. Губкина,1248000.0,,F,6,Новикова Фёкла Алексеевна,0,SPECIALTY,18,4.2,2024-06-07
2024-06-25,bank,Информатика и вычислительная техника,2024-07-31,500000,210ad1d2-dbe7-48b2-b30e-d2c627dd1f9,0.68,1,1,2,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),1800000.0,,F,6,Алина Юльевна Колесникова,1,BACHELOR,17,4.0,2024-05-15
2024-07-09,website,Автоматизация и управление,2024-08-30,130000,1aeac7dd-f59a-4edb-98a7-a5ba74daa9d,0.54,1,1,1,Красноярский государственный университет (КГУ),312000.0,,F,4,Сергеева Синклитикия Оскаровна,1,BACHELOR,19,4.0,2024-05-06
2024-09-03,bank,Информатика и вычислительная техника,,290000,ba9ceea1-b62a-4703-a122-cc4454943eb6,0.68,0,1,1,Сибирский федеральный университет (СФУ),580000.0,,M,2,Гришин Любим Денисович,0,BACHELOR,18,4.0,2024-08-04
2024-08-10,social_media,Физика,2024-08-29,265000,6c129f5a-02ee-4000-b742-fde89d57a5b,0.63,1,1,1,Санкт-Петербургский государственный университет (СПбГУ),530000.0,,M,4,Исаков Зосима Виленович,1,MASTER,23,4.9,2024-06-07
2024-06-07,social_media,Информатика и вычислительная техника,,260000,c5ab99b6-2ff2-4f22-9d0f-3ee718d59380,0.68,0,1,1,Российский государственный университет нефти и газа имени И.М. Губкина,520000.0,,M,4,Аристарх Изотович Дорофеев,0,MASTER,20,4.0,2024-05-11
2024-07-23,website,Инженерия программного обеспечения,2024-07-30,250000,4ca153ca-9985-4256-9dc2-6e217385f4b,0.53,1,1,2,Национальный исследовательский ядерный университет «МИФИ»,1000000.0,,F,8,Романова Юлия Васильевна,1,BACHELOR,16,4.4,2024-06-07
2024-06-28,social_media,Физика,2024-08-20,275000,d1a9cf4a-5983-471a-be41-af7c89ce1ac2,0.63,1,1,2,Российский государственный университет нефти и газа имени И.М. Губкина,1320000.0,,M,8,Мирослав Зиновьевич Кудрявцев,0,BACHELOR,16,4.5,2024-06-23
2024-08-14,bank,Прикладная математика,2024-08-17,400000,fa5fc64a-f383-4264-bb46-e9592332ef37,0.69,1,1,2,Санкт-Петербургский государственный университет (СПбГУ),1600000.0,,F,8,Петухова Акулина Дмитриевна,0,BACHELOR,17,3.5,2024-07-24
2024-07-06,bank,Информатика и вычислительная техника,2024-07-18,260000,7e4d5a62-3295-49c4-a3c9-7ceb50552cb,0.62,1,1,1,Российский государственный университет нефти и газа имени И.М. Губкина,624000.0,,F,4,Елисеева Олимпиада Васильевна,1,MASTER,20,4.0,2024-05-01
2024-05-24,bank,Информатика и вычислительная техника,2024-07-28,400000,dcd2e039-f78e-4ee4-9a13-2746a4c0e072,0.69,1,1,2,Московский государственный университет имени М.В. Ломоносова (МГУ),1600000.0,,M,8,Бронислав Анисимович Зайцев,0,BACHELOR,18,4.0,2024-05-22
2024-06-06,website,Прикладная математика,2024-06-19,210000,64f5d23a-30c0-417a-a6a0-2e4205bcbef8,0.66,1,1,4,Новосибирский государственный университет (НГУ),1680000.0,,F,8,Субботина Полина Аскольдовна,0,BACHELOR,17,3.5,2024-05-18
2024-07-31,website,Электроника и наноэлектроника,2024-08-13,340000,b4fa6520-9ae6-4f10-aebf-5ae4d05dba75,0.65,1,1,3,Московский государственный университет имени М.В. Ломоносова (МГУ),2040000.0,,M,8,Всеволод Анатольевич Богданов,0,BACHELOR,16,3.0,2024-05-26
2024-08-14,bank,Электроника и наноэлектроника,,190000,e858f948-0eba-4a66-baa9-544774f02b79,0.65,0,1,2,Московский физико-технический институт (МФТИ),760000.0,,F,8,Надежда Вячеславовна Кудряшова,0,SPECIALTY,16,4.0,2024-05-12
2024-08-17,website,Прикладная математика,2024-08-31,350000,2e1dec4d-b067-4cf6-9f9e-5c838c5af16,0.69,1,1,2,Санкт-Петербургский государственный университет (СПбГУ),1400000.0,,M,4,Комиссаров Игорь Ерофеевич,1,MASTER,22,3.2,2024-06-17
2024-06-24,social_media,Прикладная математика,2024-08-12,350000,ac84370a-d950-4bf0-9e2b-0f44e98d510,0.68,1,1,2,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),1050000.0,,F,4,Валентина Вениаминовна Калинина,1,MASTER,20,3.7,2024-05-13
2024-07-09,social_media,Физика,2024-08-08,135000,a075be50-d2e7-4ace-9096-cf6ddc0e1ed,0.63,1,1,1,Уральский федеральный университет имени первого Президента России Б.Н. Ельцина (УрФУ),324000.0,,F,4,Максимова Агата Георгиевна,1,MASTER,23,4.0,2024-05-20
2024-08-02,bank,Механика,2024-08-26,245000,f3131303-2a5c-4643-8f84-aca4edd3f75e,0.62,1,1,2,Московский государственный университет имени М.В. Ломоносова (МГУ),784000.0,,M,4,Некрасов Будимир Ерофеевич,0,MASTER,24,3.2,2024-07-11
2024-05-31,bank,Инженерия программного обеспечения,2024-08-11,360000,755d93f2-550a-40bc-a66e-d7a3d3a21094,0.76,1,1,2,Московский государственный университет имени М.В. Ломоносова (МГУ),1080000.0,,F,4,Лазарева Марина Степановна,0,MASTER,22,4.0,2024-05-30
2024-06-15,social_media,Инженерия программного обеспечения,2024-09-04,270000,fb53eb16-be1c-4627-9a8d-4162cbf32d2,0.64,1,1,1,Российский государственный университет нефти и газа имени И.М. Губкина,648000.0,,F,4,Лыткина Агата Святославовна,1,BACHELOR,17,3.0,2024-05-28
2024-07-08,bank,Прикладная математика,2024-07-25,400000,c6d84ada-cf11-4bda-a486-e4f80161ca0a,0.54,1,1,3,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),2400000.0,,M,8,Авдеев Феликс Вячеславович,0,BACHELOR,19,3.3,2024-06-16
2024-07-13,bank,Электроника и наноэлектроника,2024-08-20,160000,fccad779-597f-4be6-823d-7d5af1d145c2,0.7,1,1,2,Уральский федеральный университет имени первого Президента России Б.Н. Ельцина (УрФУ),720000.0,,F,6,Акулина Валентиновна Федорова,0,SPECIALTY,18,4.0,2024-05-23
2024-07-19,social_media,Информатика и вычислительная техника,,400000,6794a9ed-c31c-456a-810a-92400afb31e,0.53,0,1,2,Санкт-Петербургский государственный университет (СПбГУ),1200000.0,,F,4,Дорофеева Елизавета Робертовна,1,BACHELOR,17,3.0,2024-05-30
2024-08-09,social_media,Инженерия программного обеспечения,,210000,ad4ba762-ed93-4df4-bd1e-5b6ccb89ce7e,0.45,0,1,3,Пермский государственный национальный исследовательский университет (ПГНИУ),1260000.0,,M,8,Лазарь Владиславович Лихачев,0,BACHELOR,16,3.9,2024-07-13
2024-08-13,bank,Инженерия программного обеспечения,,210000,844adb72-9c37-4626-acd8-e6a0fef3db8d,0.5,0,1,3,Московский физико-технический институт (МФТИ),1344000.0,,M,8,Соболев Арефий Борисович,0,BACHELOR,15,3.7,2024-05-26
2024-08-20,website,Инженерия программного обеспечения,2024-09-07,360000,4e4e334c-ee08-414a-b1c1-d7f2dfd0fcdb,0.49,1,1,2,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),1620000.0,,M,6,Прохоров Радим Валерианович,0,SPECIALTY,16,4.3,2024-06-15
2024-06-26,bank,Электроника и наноэлектроника,,300000,e26e6679-6339-470a-8479-0b0719bec79,0.71,0,1,2,Новосибирский государственный университет (НГУ),1200000.0,,M,4,Евдоким Евсеевич Белозеров,1,MASTER,20,4.0,2024-05-06
2024-06-27,website,Прикладная математика,2024-07-23,350000,d1346c56-4072-426e-8452-a297368cc33,0.64,1,1,4,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),2520000.0,,F,8,Екатерина Ивановна Григорьева,1,SPECIALTY,17,4.0,2024-05-30
2024-08-04,bank,Физика,2024-09-09,105000,c2866427-edb7-40cb-8711-a5d4f5153a91,0.68,1,1,1,Сибирский федеральный университет (СФУ),210000.0,,M,2,Гуляев Серафим Игнатьевич,0,BACHELOR,19,3.4,2024-06-04
